時間,ツイート本文,いいね,リツイート,ID
2022-10-30 03:45:14+00:00,そうなんですよね、デスクトップアプリとして素晴らしく感じる一方、Web版が強くない印象を持っています。ブラウザベースで何でもできる昨今、アプリをダウンロードせず、ブラウザでサクサク動くサービスを個人的に使用してます。たしかにレガシー問題が多そうです。 https://t.co/y3u6mVAGvp,3,0,1586564859570794498
2022-10-30 03:42:31+00:00,"GASでREST API作って別の言語で叩くの楽ですよね。
言語ごとの良し悪しを理解した上で、使っていくのがベストですね。 https://t.co/W95wODP7MY",2,0,1586564177274888192
2022-10-30 03:39:30+00:00,スプレッドシートを使いたいというより、Gmail、Googleカレンダー等を使うから、スプレッドシートを使っているというのも大きな理由かもしれません。どっちも素晴らしいサービスではありますが、企業文化や慣れで決まることが多い印象です。,2,0,1586563420303765504
2022-10-30 03:35:18+00:00,スプレッドシートとExcelを比較したら、Excelの方が使われていると思います。ただ、僕の周りの会社でExcelを使っているところは少ないです。昔からExcelを使っていた大企業等はそのままExcelを使っているイメージですが、ここ数年以内に立ち上がった企業はスプレッドシートを使っている印象です。 https://t.co/mufHeomkzD,9,1,1586562363213303808
2022-10-30 01:53:02+00:00,僕はずっとGoogle Workspaceを使っているので、Office365の良し悪しはわかりませんが、Power Automate、Power Apps等の業務を楽にする関連サービスが充実しているなぁという印象はあります。 https://t.co/qQmbnToFnn,5,24,1586536627119087617
2022-10-30 01:16:41+00:00,"MS製品→VBA、Google製品→GASのイメージです。スプレッドシート、カレンダー、フォーム、ドキュメント等のGoogle関連サービスに加えて、外部APIとの連携を行うと業務効率化の幅が広がります。
あとはブラウザベースで動くので環境構築不要かつ、定期実行の設定がGUIベースでできるのも魅力的です。",10,1,1586527477362368512
2022-10-30 01:16:41+00:00,GASでもたしかダイアログを実装できた気がします。VBAにそこまで詳しくないのですが、VBAの代用というよりは、Google Workspaceを使っている企業には最適です。Google関連サービスとの連携がしやすく、JSベースの言語なので、色々と使い勝手がいいです。MS製品を扱っている人は縁遠いかもです。 https://t.co/ukGCtMsyyo,13,2,1586527475596599296
2022-10-30 00:16:14+00:00,そうなんですよね。Google使ってる会社はGASできるとめちゃ便利なんですよね。色々話聞いてみたら、それPythonじゃなくてGASが良いよね？ってなること多々あります。 https://t.co/Q8kltk3Nn0,8,1,1586512265204801536
2022-10-30 00:14:59+00:00,「業務効率化」という点であれば間違いなくGASの方が活用されているイメージです。データ分析、Webアプリ開発とか他の領域も含むとPythonですね。 https://t.co/NSamuIJlry,14,2,1586511949684056064
2022-10-29 09:03:00+00:00,これは僕の感覚なんですけど「業務効率化・自動化」という点ではPythonよりGAS（Google Apps Script）の方が現場で活用されています。知り合いとかでもGASを会社でバンバン活用していたり、GAS案件が定期的に入ってきたりしている話をよく聞きます。みなさん、「業務効率化」だけならGAS学ぶべきです。,662,50,1586282441202728960
2022-10-28 01:40:46+00:00,昨日久しぶりに、 法人相手の商談があったんですけど、やっぱ法人営業は性に合っている気がする。来年あたりにはなにか法人相手のサービスもやっていきたいなぁと思いました。,22,1,1585808761909760000
2022-10-27 08:17:28+00:00,すごい。半端ねぇ。 https://t.co/7HYFhWUOsM,7,0,1585546208856379392
2022-10-24 23:31:55+00:00,"【先行配信】
VoicyでIT用語100選シリーズをはじめました！
Udemyで有料講座として販売予定のコンテンツをVoicyで無料配信していきます。1日1つIT用語を音声でインプットしていきましょう！
 https://t.co/5XtckQCUKE",7,1,1584689173067288576
2022-10-23 23:22:02+00:00,"今日は思考の整理・構造化にオススメな便利ツール『Workflowy』について紹介しました。私のYouTubeでもたまに出てくるツールなので、ご存じの方もいらっしゃるかもしれませんね。
https://t.co/P0ULMLB0ez",3,0,1584324296037773312
2022-10-23 09:03:00+00:00,最近は、長期インターンを採用するにはどの媒体がオススメなんでしょうか？定期的に募集したいわけではなく、都度募集がメインなので、Wantedlyみたいな継続課金ではなく、成果報酬型だとありがたいです。どなたかご存知でしたら教えていただきたいです！カテゴリはマーケティング、アパレルです。,10,0,1584108113795305472
2022-10-20 00:23:45+00:00,全国旅行支援開始とともに、ホテル・宿が軒並み値上げしてるので、普段外泊する人からしたらむしろ泊まりたくない金額になってる😭 https://t.co/Qvd8hC0f8X,7,3,1582890277286465537
2022-10-20 00:22:24+00:00,"昨日のウェビナーの内容で、あぁ、これ確かに重要だなぁと感じたテクニックについて話しました。私自身、営業であたり前のようにやっていたことです。社長のnoteやSNS、インタビュー記事を事前にチェックしておく、これやっていない人いたらめちゃくちゃ損してます。
https://t.co/udJxhQ7txi",10,1,1582889936948060161
2022-10-19 22:55:57+00:00,@freepc_yuki @tan_x2_ 今回も変わらず好評でした。 https://t.co/zwQ9fejAyD,3,0,1582868182456356864
2022-10-19 22:54:41+00:00,"昨日のcode4biz受講生限定ウェビナーもめっちゃタメになりました。「たしかになぁ」「なるほどなぁ」「そうだよなぁ」と思わされる内容ばかりでずっと頷いてました。@freepc_yuki さんご登壇ありがとうございました！
p.s. @tan_x2_ さんもご紹介ありがとうございました！ https://t.co/YMGkCm88sR",11,0,1582867864662396929
2022-10-19 01:25:32+00:00,海外ドラマみたいにシーズン10くらいまでいきそう。 https://t.co/Flwm672zoO,2,0,1582543439903670273
2022-10-19 00:01:49+00:00,ありがとうございます！😆 https://t.co/vIoiXZbNeu,1,0,1582522371973390336
2022-10-18 04:51:03+00:00,テントサウナ置く場所ないなぁとふと思ったんですけど、場所がないなら作ればいいんですよね。,5,0,1582232771371507713
